https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1644105600000,2022-02-06 00:00:00,BNB/USDT,413.370,421.570,406.280,419.640,964364.54,400023720.89809,550859
1644019200000,2022-02-05 00:00:00,BNB/USDT,399.330,430.370,396.140,413.370,1835500.32,764993398.76689,848023
1643932800000,2022-02-04 00:00:00,BNB/USDT,372.070,399.420,369.090,399.330,1407258.11,539683227.77340,703628
1643846400000,2022-02-03 00:00:00,BNB/USDT,367.010,372.350,359.150,372.080,959358.35,350509523.99577,591893
1643760000000,2022-02-02 00:00:00,BNB/USDT,383.930,385.970,366.000,366.940,1042518.69,392409862.61649,611361
1643673600000,2022-02-01 00:00:00,BNB/USDT,374.400,388.550,373.600,383.930,1093014.20,418471603.40130,679563
1643587200000,2022-01-31 00:00:00,BNB/USDT,376.840,385.100,364.770,374.380,1151928.43,432274404.80592,714879
1643500800000,2022-01-30 00:00:00,BNB/USDT,389.040,389.270,372.130,376.840,981385.00,374116904.36609,635624
1643414400000,2022-01-29 00:00:00,BNB/USDT,385.830,397.340,380.530,389.040,1114435.13,432614537.74926,721743
1643328000000,2022-01-28 00:00:00,BNB/USDT,389.370,396.390,375.260,385.840,1690112.66,652107029.32826,963796
1643241600000,2022-01-27 00:00:00,BNB/USDT,374.780,392.880,359.280,389.360,1635176.05,610373096.73885,929843
1643155200000,2022-01-26 00:00:00,BNB/USDT,384.800,402.420,366.000,374.750,1779097.73,685222514.44041,981445
1643068800000,2022-01-25 00:00:00,BNB/USDT,370.940,387.900,357.320,384.800,1481220.47,551247870.82334,839918
1642982400000,2022-01-24 00:00:00,BNB/USDT,383.860,383.900,336.000,370.930,2416219.80,860098112.41358,1363207
1642896000000,2022-01-23 00:00:00,BNB/USDT,358.330,388.970,356.180,383.870,1910787.44,717086344.69971,1088627
1642809600000,2022-01-22 00:00:00,BNB/USDT,383.620,388.980,335.680,358.340,3012172.61,1086900760.68681,1568680
1642723200000,2022-01-21 00:00:00,BNB/USDT,440.070,444.570,373.110,383.570,2443646.22,1009568353.97922,1405698
1642636800000,2022-01-20 00:00:00,BNB/USDT,461.530,478.340,438.100,440.050,1851504.99,860227155.74843,1039399
1642550400000,2022-01-19 00:00:00,BNB/USDT,470.540,472.590,453.300,461.540,1096429.80,509361738.45688,599893
1642464000000,2022-01-18 00:00:00,BNB/USDT,474.690,479.000,456.800,470.530,1175521.67,548367911.56735,655915
1642377600000,2022-01-17 00:00:00,BNB/USDT,497.940,498.200,466.470,474.690,1286243.88,615730353.25363,803616
1642291200000,2022-01-16 00:00:00,BNB/USDT,493.750,504.870,488.020,497.950,826029.49,409730380.03360,577326
1642204800000,2022-01-15 00:00:00,BNB/USDT,489.500,500.270,484.010,493.750,830556.69,409461167.31918,585258
1642118400000,2022-01-14 00:00:00,BNB/USDT,474.290,492.280,466.390,489.510,1175474.83,564250421.95832,723468
1642032000000,2022-01-13 00:00:00,BNB/USDT,487.470,488.500,465.860,474.360,1247882.49,596300109.17622,755670
1641945600000,2022-01-12 00:00:00,BNB/USDT,462.890,488.410,456.260,487.500,1262509.70,597206894.56608,756385
1641859200000,2022-01-11 00:00:00,BNB/USDT,424.510,467.400,421.220,462.870,1769764.64,797268995.46072,1041229
