https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1620691200000,2021-05-11 00:00:00,XRP/USDT,1.3908,1.4903,1.3500,1.4808,1606411364.5,2299181698.65083,2037852
1620604800000,2021-05-10 00:00:00,XRP/USDT,1.5365,1.6298,1.2052,1.3909,2667721486.3,3961941194.74804,3168099
1620518400000,2021-05-09 00:00:00,XRP/USDT,1.5636,1.6021,1.4100,1.5365,1478470922.4,2242302913.29644,1908968
1620432000000,2021-05-08 00:00:00,XRP/USDT,1.5812,1.6300,1.5410,1.5635,1208260730.6,1913874373.83637,1529540
1620345600000,2021-05-07 00:00:00,XRP/USDT,1.6052,1.6965,1.5056,1.5811,2164470279.4,3455876933.51754,2637990
1620259200000,2021-05-06 00:00:00,XRP/USDT,1.6182,1.7722,1.5048,1.6051,3481347490.3,5792432941.83408,4154419
1620172800000,2021-05-05 00:00:00,XRP/USDT,1.3882,1.6310,1.3657,1.6181,2905496120.3,4428953346.24948,3086975
1620086400000,2021-05-04 00:00:00,XRP/USDT,1.5582,1.5619,1.3189,1.3882,3761063811.6,5405770220.75410,3447369
1620000000000,2021-05-03 00:00:00,XRP/USDT,1.5619,1.6248,1.4604,1.5582,1859212510.3,2931557527.24096,1995877
1619913600000,2021-05-02 00:00:00,XRP/USDT,1.6531,1.6600,1.5238,1.5618,2071146175.6,3272713750.63300,1997488
1619827200000,2021-05-01 00:00:00,XRP/USDT,1.6021,1.6686,1.5238,1.6531,1932460638.2,3070439341.90727,2034967
1619740800000,2021-04-30 00:00:00,XRP/USDT,1.3985,1.6400,1.3759,1.6019,3959585696.6,6150493687.46453,3821681
1619654400000,2021-04-29 00:00:00,XRP/USDT,1.3594,1.4222,1.3278,1.3985,2524827408.4,3494484657.99338,2406568
1619568000000,2021-04-28 00:00:00,XRP/USDT,1.4040,1.4499,1.2831,1.3594,3326625503.2,4529158385.11853,3024112
1619481600000,2021-04-27 00:00:00,XRP/USDT,1.3645,1.4671,1.3318,1.4039,4242028261.8,5952206190.37900,3895411
1619395200000,2021-04-26 00:00:00,XRP/USDT,1.0355,1.3766,1.0125,1.3644,5266672364.2,6442511682.69980,4689799
1619308800000,2021-04-25 00:00:00,XRP/USDT,1.0503,1.1576,0.9439,1.0356,3223836893.3,3410583235.04800,2903062
1619222400000,2021-04-24 00:00:00,XRP/USDT,1.1703,1.1724,1.0209,1.0503,2942016375.5,3212073688.49698,2597456
1619136000000,2021-04-23 00:00:00,XRP/USDT,1.1556,1.1979,0.8702,1.1703,7109315774.6,7573479500.33869,5818780
1619049600000,2021-04-22 00:00:00,XRP/USDT,1.2911,1.4224,1.0816,1.1557,4134473501.3,5290677566.31656,4111889
1618963200000,2021-04-21 00:00:00,XRP/USDT,1.3862,1.4676,1.2745,1.2912,2957369617.0,4055054082.02768,3140446
1618876800000,2021-04-20 00:00:00,XRP/USDT,1.3102,1.4490,1.1720,1.3863,3712371564.9,4820390202.63912,3767461
1618790400000,2021-04-19 00:00:00,XRP/USDT,1.4105,1.5310,1.2479,1.3100,4068853046.6,5585371100.92664,4183203
1618704000000,2021-04-18 00:00:00,XRP/USDT,1.5408,1.5677,1.1000,1.4105,5531419436.2,7327612996.28168,5422914
1618617600000,2021-04-17 00:00:00,XRP/USDT,1.5515,1.7450,1.5194,1.5409,2405146394.1,3895936125.20586,3060963
1618531200000,2021-04-16 00:00:00,XRP/USDT,1.7599,1.8177,1.4100,1.5515,4473213159.0,7262376592.93785,4724790
1618444800000,2021-04-15 00:00:00,XRP/USDT,1.8384,1.8948,1.6560,1.7599,3041510622.9,5348555962.33145,3362562
1618358400000,2021-04-14 00:00:00,XRP/USDT,1.7987,1.9770,1.5600,1.8385,6201505827.5,11032393823.24671,6318377
1618272000000,2021-04-13 00:00:00,XRP/USDT,1.4706,1.8950,1.4214,1.7993,6666710628.4,11284293813.98425,6531701
1618185600000,2021-04-12 00:00:00,XRP/USDT,1.3563,1.4778,1.3235,1.4706,2927171900.9,4034675980.36383,2635018
1618099200000,2021-04-11 00:00:00,XRP/USDT,1.3761,1.5057,1.3085,1.3563,5041750248.3,7066466680.35252,4796121
1618012800000,2021-04-10 00:00:00,XRP/USDT,1.0192,1.4063,1.0079,1.3762,7483995510.6,9263536896.32333,5926580
1617926400000,2021-04-09 00:00:00,XRP/USDT,1.0586,1.0876,0.9813,1.0192,2669286605.8,2743732463.65186,1900860
1617840000000,2021-04-08 00:00:00,XRP/USDT,0.9181,1.0753,0.9025,1.0588,3561143144.7,3476414702.66448,2331768
1617753600000,2021-04-07 00:00:00,XRP/USDT,1.1006,1.1144,0.8540,0.9180,7202256810.5,6933048543.56410,4876269
1617667200000,2021-04-06 00:00:00,XRP/USDT,0.9176,1.1240,0.8080,1.1005,10231148321.4,9987504029.58167,7106794
1617580800000,2021-04-05 00:00:00,XRP/USDT,0.6353,0.9421,0.6207,0.9176,8128449731.5,6363079681.63292,5047606
1617494400000,2021-04-04 00:00:00,XRP/USDT,0.5790,0.6368,0.5622,0.6353,1257810414.8,752946502.45007,722421
1617408000000,2021-04-03 00:00:00,XRP/USDT,0.6078,0.6430,0.5715,0.5790,2112863224.8,1299044811.50834,1267360
1617321600000,2021-04-02 00:00:00,XRP/USDT,0.5714,0.6124,0.5664,0.6078,1564087552.8,920089787.45241,958256
1617235200000,2021-04-01 00:00:00,XRP/USDT,0.5709,0.5998,0.5478,0.5714,1411453338.3,803261758.22895,846389
1617148800000,2021-03-31 00:00:00,XRP/USDT,0.5630,0.5783,0.5252,0.5708,1552269813.8,857361831.42395,924054
1617062400000,2021-03-30 00:00:00,XRP/USDT,0.5663,0.5892,0.5601,0.5629,1119023781.1,640779415.82256,633349
1616976000000,2021-03-29 00:00:00,XRP/USDT,0.5463,0.5723,0.5434,0.5662,910653619.2,510902846.61456,552013
1616889600000,2021-03-28 00:00:00,XRP/USDT,0.5478,0.5614,0.5386,0.5463,655974765.9,360540565.70294,424445
1616803200000,2021-03-27 00:00:00,XRP/USDT,0.5638,0.5753,0.5343,0.5479,972560455.6,538497507.19765,608781
1616716800000,2021-03-26 00:00:00,XRP/USDT,0.5111,0.5776,0.5107,0.5638,1698485594.8,930133836.48470,1000684
1616630400000,2021-03-25 00:00:00,XRP/USDT,0.4801,0.5250,0.4552,0.5110,2242921852.4,1105797006.13529,1214623
1616544000000,2021-03-24 00:00:00,XRP/USDT,0.5500,0.5636,0.4485,0.4800,2150347117.8,1119843477.42295,1227787
1616457600000,2021-03-23 00:00:00,XRP/USDT,0.5449,0.5980,0.5381,0.5501,2908331283.6,1651006972.65556,1626898
1616371200000,2021-03-22 00:00:00,XRP/USDT,0.5174,0.6014,0.5014,0.5449,4283380102.0,2408341652.75778,2345500
1616284800000,2021-03-21 00:00:00,XRP/USDT,0.5265,0.5479,0.4952,0.5176,1986704476.3,1024842213.75216,1084997
1616198400000,2021-03-20 00:00:00,XRP/USDT,0.4669,0.5500,0.4651,0.5265,2412265850.3,1230759445.37594,1232299
1616112000000,2021-03-19 00:00:00,XRP/USDT,0.4696,0.4760,0.4577,0.4668,585803706.7,275138726.50278,353476
1616025600000,2021-03-18 00:00:00,XRP/USDT,0.4708,0.4923,0.4649,0.4696,956080064.2,455285738.89929,521430
1615939200000,2021-03-17 00:00:00,XRP/USDT,0.4608,0.4831,0.4533,0.4707,1089971210.3,509651433.04149,600454
1615852800000,2021-03-16 00:00:00,XRP/USDT,0.4361,0.5213,0.4272,0.4607,2503504175.5,1186616166.33313,1488095
