https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1644105600000,2022-02-06 00:00:00,LINK/USDT,17.746,18.167,17.151,18.064,15603877.99,276608678.56680,491290
1644019200000,2022-02-05 00:00:00,LINK/USDT,17.497,18.317,17.403,17.747,21454198.76,383277267.46518,659854
1643932800000,2022-02-04 00:00:00,LINK/USDT,16.285,17.540,15.996,17.500,22294380.42,370570640.46307,762248
1643846400000,2022-02-03 00:00:00,LINK/USDT,15.773,16.324,15.245,16.290,21176619.68,333920197.84052,686696
1643760000000,2022-02-02 00:00:00,LINK/USDT,16.974,17.369,15.510,15.772,21649917.63,359238960.60810,764135
1643673600000,2022-02-01 00:00:00,LINK/USDT,17.145,17.877,16.810,16.974,22856487.87,394083248.19313,851383
1643587200000,2022-01-31 00:00:00,LINK/USDT,17.752,17.875,16.429,17.143,31583852.16,538783289.59334,1077768
1643500800000,2022-01-30 00:00:00,LINK/USDT,16.217,18.121,16.004,17.754,31526832.92,545515407.49394,1102540
1643414400000,2022-01-29 00:00:00,LINK/USDT,16.132,16.750,15.948,16.217,17766920.18,289578545.70120,732700
1643328000000,2022-01-28 00:00:00,LINK/USDT,15.208,16.275,14.719,16.133,23779706.04,366139354.07399,1011874
1643241600000,2022-01-27 00:00:00,LINK/USDT,15.222,15.700,14.281,15.209,27929913.57,418544472.95423,1111126
1643155200000,2022-01-26 00:00:00,LINK/USDT,15.489,16.800,14.664,15.224,31013456.67,490167015.01779,1195566
1643068800000,2022-01-25 00:00:00,LINK/USDT,15.567,16.016,14.583,15.487,26263860.83,401260648.83772,1109260
1642982400000,2022-01-24 00:00:00,LINK/USDT,16.621,16.630,13.481,15.568,45572498.43,673103343.88099,1779513
1642896000000,2022-01-23 00:00:00,LINK/USDT,15.850,16.878,15.146,16.622,27742530.74,443196147.70729,1107454
1642809600000,2022-01-22 00:00:00,LINK/USDT,17.411,17.813,14.230,15.844,51409821.45,816598341.46243,1810315
1642723200000,2022-01-21 00:00:00,LINK/USDT,20.164,20.496,17.100,17.414,44261036.74,839558235.30956,1759437
1642636800000,2022-01-20 00:00:00,LINK/USDT,21.535,22.964,20.031,20.164,22514847.42,491233095.11947,1070474
1642550400000,2022-01-19 00:00:00,LINK/USDT,22.951,23.140,21.204,21.541,23074592.52,508405274.91466,1013594
1642464000000,2022-01-18 00:00:00,LINK/USDT,23.773,24.328,22.041,22.951,21384482.12,492132694.44914,990051
1642377600000,2022-01-17 00:00:00,LINK/USDT,25.500,25.621,23.258,23.771,18101130.09,441722715.57034,942464
1642291200000,2022-01-16 00:00:00,LINK/USDT,25.166,26.341,24.629,25.498,17274445.36,442875360.79973,888394
1642204800000,2022-01-15 00:00:00,LINK/USDT,25.704,26.198,25.097,25.167,17828346.97,457220504.96712,890526
1642118400000,2022-01-14 00:00:00,LINK/USDT,24.858,25.862,23.900,25.706,21555282.22,534264705.99020,1042620
1642032000000,2022-01-13 00:00:00,LINK/USDT,26.745,26.758,24.426,24.852,28565845.62,733072573.39646,1242886
1641945600000,2022-01-12 00:00:00,LINK/USDT,26.578,27.231,25.571,26.751,32769036.61,867447039.02913,1397035
1641859200000,2022-01-11 00:00:00,LINK/USDT,27.975,28.688,25.837,26.582,44243110.50,1197559021.60907,1788551
1641772800000,2022-01-10 00:00:00,LINK/USDT,27.536,28.500,25.071,27.974,68015065.29,1842597624.92339,2597882
