https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1665187200000,2022-10-08 00:00:00,ETH/USDT,1330.42,1337.19,1302.00,1314.74,2182988.071,2887524977.80279,1380547
1665100800000,2022-10-07 00:00:00,ETH/USDT,1351.50,1361.21,1316.22,1330.41,5119226.330,6854336044.88562,2924493
1665014400000,2022-10-06 00:00:00,ETH/USDT,1351.60,1383.29,1344.00,1351.50,7101597.575,9688859096.22463,3756284
1664928000000,2022-10-05 00:00:00,ETH/USDT,1360.73,1364.75,1315.27,1351.61,5456174.624,7323277791.98338,2883956
1664841600000,2022-10-04 00:00:00,ETH/USDT,1322.58,1370.00,1318.06,1360.73,5536817.118,7456202392.44989,3096865
1664755200000,2022-10-03 00:00:00,ETH/USDT,1275.95,1329.00,1260.48,1322.59,5798622.250,7563682363.97532,3139844
1664668800000,2022-10-02 00:00:00,ETH/USDT,1311.32,1317.70,1266.66,1275.96,4140053.849,5371485640.17009,2376019
1664582400000,2022-10-01 00:00:00,ETH/USDT,1327.78,1333.38,1301.00,1311.31,2763699.151,3648363835.77980,1721856
1664496000000,2022-09-30 00:00:00,ETH/USDT,1334.80,1373.34,1307.53,1327.78,8510622.642,11394338399.68576,4388913
1664409600000,2022-09-29 00:00:00,ETH/USDT,1336.43,1351.93,1287.24,1334.80,8973401.704,11892132443.56242,4724858
1664323200000,2022-09-28 00:00:00,ETH/USDT,1327.20,1355.76,1250.00,1336.43,10608737.289,13854142475.32485,5342908
1664236800000,2022-09-27 00:00:00,ETH/USDT,1335.25,1400.00,1303.02,1327.19,9686206.927,13143901188.70475,5284170
1664150400000,2022-09-26 00:00:00,ETH/USDT,1293.98,1340.00,1277.55,1335.25,8104991.588,10639323515.45812,4716042
1664064000000,2022-09-25 00:00:00,ETH/USDT,1316.18,1336.92,1268.19,1293.99,4839166.035,6323317973.41767,2980838
1663977600000,2022-09-24 00:00:00,ETH/USDT,1326.62,1348.84,1305.36,1316.19,4603413.868,6117137472.97961,2915054
1663891200000,2022-09-23 00:00:00,ETH/USDT,1325.73,1359.22,1260.75,1326.62,10875882.189,14195748237.66868,5874881
1663804800000,2022-09-22 00:00:00,ETH/USDT,1244.20,1349.84,1235.60,1325.73,9848169.894,12674382231.70619,5593957
1663718400000,2022-09-21 00:00:00,ETH/USDT,1322.09,1420.00,1218.00,1244.19,11244354.459,14907764982.75890,6900700
1663632000000,2022-09-20 00:00:00,ETH/USDT,1375.05,1384.53,1311.00,1322.08,7850914.483,10604151627.64198,4804928
1663545600000,2022-09-19 00:00:00,ETH/USDT,1333.68,1394.00,1276.62,1375.05,10278329.861,13666010265.88282,6176536
1663459200000,2022-09-18 00:00:00,ETH/USDT,1467.96,1469.00,1320.00,1333.67,7139282.229,9967351085.11641,4215106
1663372800000,2022-09-17 00:00:00,ETH/USDT,1433.58,1475.15,1408.15,1467.96,4366994.599,6308438616.51773,3043567
1663286400000,2022-09-16 00:00:00,ETH/USDT,1471.94,1482.65,1403.00,1433.58,8136455.084,11772482639.46676,5306662
1663200000000,2022-09-15 00:00:00,ETH/USDT,1635.40,1657.80,1455.00,1471.93,12706158.928,19824699198.48316,8791055
1663113600000,2022-09-14 00:00:00,ETH/USDT,1571.91,1642.24,1548.00,1635.39,6491665.957,10351087044.81358,4751850
1663027200000,2022-09-13 00:00:00,ETH/USDT,1715.15,1762.88,1556.78,1571.90,9660861.421,15865869412.73067,6558301
1662940800000,2022-09-12 00:00:00,ETH/USDT,1765.00,1783.43,1691.28,1715.14,6512918.389,11291212213.97169,4933620
1662854400000,2022-09-11 00:00:00,ETH/USDT,1773.04,1787.88,1718.02,1765.01,3909495.301,6884026557.92414,2976743
1662768000000,2022-09-10 00:00:00,ETH/USDT,1717.49,1788.98,1705.00,1773.05,4234258.288,7348536836.11749,3412888
1662681600000,2022-09-09 00:00:00,ETH/USDT,1634.23,1746.30,1629.25,1717.48,7591864.920,12916052034.86230,5236115
1662595200000,2022-09-08 00:00:00,ETH/USDT,1629.36,1666.00,1594.00,1634.22,8111052.514,13203029495.58423,5198061
1662508800000,2022-09-07 00:00:00,ETH/USDT,1558.23,1657.60,1486.16,1629.35,9094507.329,14158089326.65611,5527649
1662422400000,2022-09-06 00:00:00,ETH/USDT,1616.93,1686.75,1551.70,1558.23,11076502.230,18073176431.24372,6751274
1662336000000,2022-09-05 00:00:00,ETH/USDT,1578.14,1631.60,1555.72,1616.92,5810610.257,9199273055.66278,3583657
1662249600000,2022-09-04 00:00:00,ETH/USDT,1556.42,1586.00,1539.70,1578.14,3969402.047,6193035829.21504,2687848
1662163200000,2022-09-03 00:00:00,ETH/USDT,1574.49,1582.02,1532.60,1556.41,3937946.105,6120571237.10822,2941164
1662076800000,2022-09-02 00:00:00,ETH/USDT,1585.40,1649.64,1545.00,1574.49,9144439.365,14620844149.07381,5673542
1661990400000,2022-09-01 00:00:00,ETH/USDT,1553.04,1599.00,1505.00,1585.40,9119984.942,14170488622.63159,5955873
1661904000000,2022-08-31 00:00:00,ETH/USDT,1523.49,1621.29,1523.26,1553.04,11937118.009,18812423619.66005,7869837
1661817600000,2022-08-30 00:00:00,ETH/USDT,1550.66,1605.00,1471.92,1523.48,12249570.308,18926962419.59301,7466286
1661731200000,2022-08-29 00:00:00,ETH/USDT,1426.29,1559.79,1420.59,1550.67,9032669.023,13462848651.39427,5843852
1661644800000,2022-08-28 00:00:00,ETH/USDT,1490.00,1510.00,1423.10,1426.30,5691272.507,8412659314.02118,4221778
1661558400000,2022-08-27 00:00:00,ETH/USDT,1507.22,1517.40,1443.40,1490.00,7282986.956,10825970419.74756,5185492
1661472000000,2022-08-26 00:00:00,ETH/USDT,1694.15,1706.00,1485.00,1507.23,12030116.664,19517508006.90065,7297196
1661385600000,2022-08-25 00:00:00,ETH/USDT,1655.71,1722.00,1652.27,1694.16,5903160.698,10016122886.24170,4264516
