https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1609286400000,2020-12-30 00:00:00,EOS/USDT,2.643,2.677,2.536,2.615,33254095.9,86404034.5709,322754
1609200000000,2020-12-29 00:00:00,EOS/USDT,2.767,2.799,2.503,2.643,46546468.2,122744657.9030,387264
1609113600000,2020-12-28 00:00:00,EOS/USDT,2.720,2.898,2.686,2.768,41093387.5,114887529.0541,343102
1609027200000,2020-12-27 00:00:00,EOS/USDT,2.614,2.877,2.479,2.719,64028682.0,172916599.1603,454143
1608940800000,2020-12-26 00:00:00,EOS/USDT,2.667,2.697,2.525,2.614,35751133.8,93458401.8262,323860
1608854400000,2020-12-25 00:00:00,EOS/USDT,2.667,2.745,2.540,2.666,56371404.8,148888062.9074,373179
1608768000000,2020-12-24 00:00:00,EOS/USDT,2.312,2.695,2.248,2.667,79553875.8,196762390.3602,460432
1608681600000,2020-12-23 00:00:00,EOS/USDT,2.899,2.918,1.963,2.312,105082627.5,265041451.8169,525199
1608595200000,2020-12-22 00:00:00,EOS/USDT,2.933,2.956,2.770,2.900,40869344.9,117469739.8479,305080
1608508800000,2020-12-21 00:00:00,EOS/USDT,3.138,3.283,2.904,2.932,59984428.3,184349765.2672,380519
1608422400000,2020-12-20 00:00:00,EOS/USDT,3.056,3.340,3.005,3.139,65213171.9,207807026.8367,390460
1608336000000,2020-12-19 00:00:00,EOS/USDT,3.063,3.127,3.029,3.056,23722212.0,73173473.2676,217333
1608249600000,2020-12-18 00:00:00,EOS/USDT,3.045,3.135,2.986,3.063,31922366.1,97656396.9054,253770
1608163200000,2020-12-17 00:00:00,EOS/USDT,3.105,3.266,2.977,3.045,72489999.6,226286631.7591,438423
1608076800000,2020-12-16 00:00:00,EOS/USDT,2.863,3.119,2.816,3.104,29489308.3,87421133.4921,288406
1607990400000,2020-12-15 00:00:00,EOS/USDT,2.849,2.906,2.807,2.863,18210102.1,52064075.9452,227589
1607904000000,2020-12-14 00:00:00,EOS/USDT,2.853,2.866,2.801,2.849,15505789.8,43907871.5610,252501
1607817600000,2020-12-13 00:00:00,EOS/USDT,2.769,2.901,2.753,2.853,14424231.0,40909207.9303,246477
1607731200000,2020-12-12 00:00:00,EOS/USDT,2.696,2.788,2.679,2.769,10787853.1,29699437.8452,242342
1607644800000,2020-12-11 00:00:00,EOS/USDT,2.742,2.753,2.648,2.696,15824884.1,42668338.2561,244145
1607558400000,2020-12-10 00:00:00,EOS/USDT,2.811,2.817,2.702,2.741,12422944.0,34334980.7627,218619
1607472000000,2020-12-09 00:00:00,EOS/USDT,2.804,2.840,2.662,2.810,19382068.9,53645161.8476,189967
1607385600000,2020-12-08 00:00:00,EOS/USDT,2.953,2.964,2.744,2.803,19756458.2,56624660.3685,246301
1607299200000,2020-12-07 00:00:00,EOS/USDT,3.000,3.013,2.909,2.952,14258214.9,42314364.7753,249119
1607212800000,2020-12-06 00:00:00,EOS/USDT,3.011,3.039,2.910,3.000,17110021.7,50854379.2264,250469
1607126400000,2020-12-05 00:00:00,EOS/USDT,2.845,3.015,2.820,3.010,17988149.6,52592305.1708,236508
1607040000000,2020-12-04 00:00:00,EOS/USDT,3.084,3.153,2.796,2.846,34377963.6,103476007.6028,295827
1606953600000,2020-12-03 00:00:00,EOS/USDT,3.057,3.140,3.012,3.084,20826340.3,64049080.7680,227857
1606867200000,2020-12-02 00:00:00,EOS/USDT,2.995,3.088,2.958,3.058,25187518.4,76410251.0612,248762
1606780800000,2020-12-01 00:00:00,EOS/USDT,3.263,3.345,2.909,2.995,63411733.4,199442619.4090,375749
