https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1631232000000,2021-09-10 00:00:00,LTC/USDT,180.44,187.48,170.53,174.16,2888518.630,515756434.05714,992162
1631145600000,2021-09-09 00:00:00,LTC/USDT,179.66,188.92,176.48,180.42,3386431.985,619482607.37821,1039574
1631059200000,2021-09-08 00:00:00,LTC/USDT,178.27,188.86,169.32,179.66,5550441.183,998881748.53163,1400718
1630972800000,2021-09-07 00:00:00,LTC/USDT,219.55,222.13,155.60,178.26,7752249.395,1501730030.45937,2004965
1630886400000,2021-09-06 00:00:00,LTC/USDT,232.56,232.63,214.74,219.57,4078226.066,915221237.69986,1141257
1630800000000,2021-09-05 00:00:00,LTC/USDT,212.23,232.88,210.62,232.51,5001999.234,1106746778.17755,1310970
1630713600000,2021-09-04 00:00:00,LTC/USDT,213.23,225.46,208.78,212.23,6506241.230,1405581257.02502,1554792
1630627200000,2021-09-03 00:00:00,LTC/USDT,183.57,217.97,180.01,213.23,8530558.739,1726853780.81655,1843758
1630540800000,2021-09-02 00:00:00,LTC/USDT,181.12,188.23,179.66,183.58,2812799.826,517846072.59790,884981
1630454400000,2021-09-01 00:00:00,LTC/USDT,171.68,182.99,168.55,181.11,3134149.484,551745022.91685,920268
1630368000000,2021-08-31 00:00:00,LTC/USDT,167.45,175.50,165.65,171.68,2729741.283,467289746.73023,877315
1630281600000,2021-08-30 00:00:00,LTC/USDT,174.45,176.61,166.51,167.46,2282587.878,392191229.54833,811823
1630195200000,2021-08-29 00:00:00,LTC/USDT,175.79,182.84,173.11,174.46,2618111.336,464296252.26470,862513
1630108800000,2021-08-28 00:00:00,LTC/USDT,176.37,177.20,171.36,175.79,1461299.009,254262224.08518,618209
1630022400000,2021-08-27 00:00:00,LTC/USDT,167.73,176.45,165.09,176.35,2046953.805,350181777.07892,748575
1629936000000,2021-08-26 00:00:00,LTC/USDT,177.86,180.34,164.90,167.72,2583950.241,441688949.62772,846048
1629849600000,2021-08-25 00:00:00,LTC/USDT,173.52,179.04,169.04,177.86,2244450.284,393086526.06433,778389
1629763200000,2021-08-24 00:00:00,LTC/USDT,187.19,189.00,171.89,173.51,2828209.270,510891608.80336,907176
1629676800000,2021-08-23 00:00:00,LTC/USDT,186.06,192.06,183.72,187.19,2860751.452,538318851.17288,905520
1629590400000,2021-08-22 00:00:00,LTC/USDT,179.81,189.86,178.40,186.05,3373170.424,622433559.89447,1014520
1629504000000,2021-08-21 00:00:00,LTC/USDT,183.70,184.88,176.53,179.79,2288366.431,414721501.31414,793168
1629417600000,2021-08-20 00:00:00,LTC/USDT,175.70,184.25,174.27,183.70,2207895.159,395383307.40401,775355
1629331200000,2021-08-19 00:00:00,LTC/USDT,166.67,175.99,162.67,175.70,2446179.103,412223050.52332,820778
1629244800000,2021-08-18 00:00:00,LTC/USDT,168.74,174.63,162.91,166.68,2717628.761,459177518.69310,862102
